time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2018-05-03 16:00:00,1.35884,1.35955,1.35377,1.3582,34694,1,0,2018-05-03 17:30:00,2018-05-03 16:00:00
2018-05-03 20:00:00,1.35821,1.35852,1.35666,1.3573,15693,1,0,2018-05-03 20:00:00,2018-05-03 21:30:00
2018-05-04 00:00:00,1.3573,1.35785,1.35689,1.35759,3138,1,0,2018-05-04 02:00:00,2018-05-04 00:00:00
2018-05-04 04:00:00,1.35761,1.35858,1.35734,1.35774,4025,1,0,2018-05-04 04:00:00,2018-05-04 05:30:00
2018-05-04 08:00:00,1.35774,1.35817,1.35434,1.35458,16666,1,0,2018-05-04 11:30:00,2018-05-04 08:30:00
2018-05-04 12:00:00,1.35458,1.35825,1.35421,1.35654,24002,1,0,2018-05-04 12:00:00,2018-05-04 15:30:00
2018-05-04 16:00:00,1.35654,1.35671,1.34861,1.35462,35245,1,0,2018-05-04 16:00:00,2018-05-04 16:00:00
2018-05-04 20:00:00,1.35462,1.35524,1.3526,1.35301,9277,1,0,2018-05-04 23:30:00,2018-05-04 20:30:00
2018-05-07 00:00:00,1.35304,1.35465,1.35294,1.35465,3813,1,0,2018-05-07 03:00:00,2018-05-07 03:30:00
2018-05-07 04:00:00,1.35465,1.35645,1.35432,1.35498,5231,1,0,2018-05-07 04:00:00,2018-05-07 06:00:00
2018-05-07 08:00:00,1.35498,1.35554,1.3528,1.35362,12370,1,0,2018-05-07 10:00:00,2018-05-07 10:30:00
2018-05-07 12:00:00,1.35362,1.35541,1.35151,1.35537,16165,1,0,2018-05-07 15:00:00,2018-05-07 15:30:00
2018-05-07 16:00:00,1.35537,1.35752,1.35355,1.35633,23494,1,0,2018-05-07 16:30:00,2018-05-07 18:00:00
2018-05-07 20:00:00,1.35633,1.35669,1.35542,1.3556,8173,1,0,2018-05-07 22:00:00,2018-05-07 21:00:00
2018-05-08 00:00:00,1.35559,1.35764,1.35553,1.35759,4063,1,0,2018-05-08 00:00:00,2018-05-08 03:30:00
2018-05-08 04:00:00,1.35759,1.35772,1.35449,1.35484,6010,1,0,2018-05-08 07:00:00,2018-05-08 04:00:00
2018-05-08 08:00:00,1.35484,1.3593,1.34954,1.35081,27289,1,0,2018-05-08 11:30:00,2018-05-08 09:00:00
2018-05-08 12:00:00,1.35081,1.35297,1.34924,1.34993,20542,1,0,2018-05-08 15:00:00,2018-05-08 13:00:00
2018-05-08 16:00:00,1.34994,1.35605,1.34844,1.35452,31899,1,0,2018-05-08 17:00:00,2018-05-08 19:00:00
2018-05-08 20:00:00,1.35452,1.35557,1.3532,1.35468,16684,1,0,2018-05-08 21:00:00,2018-05-08 21:00:00
2018-05-09 00:00:00,1.35468,1.35572,1.35356,1.35429,4043,1,0,2018-05-09 00:00:00,2018-05-09 03:00:00
2018-05-09 04:00:00,1.35429,1.35447,1.35258,1.35343,7333,1,0,2018-05-09 07:00:00,2018-05-09 04:00:00
2018-05-09 08:00:00,1.35343,1.35513,1.34989,1.35472,21307,1,0,2018-05-09 10:00:00,2018-05-09 11:30:00
2018-05-09 12:00:00,1.35472,1.36069,1.35206,1.3596,30291,1,0,2018-05-09 13:00:00,2018-05-09 15:30:00
2018-05-09 16:00:00,1.3596,1.35981,1.35507,1.35561,28350,1,0,2018-05-09 19:30:00,2018-05-09 16:00:00
2018-05-09 20:00:00,1.35561,1.35657,1.35402,1.35452,8467,1,0,2018-05-09 22:30:00,2018-05-09 20:30:00
2018-05-10 00:00:00,1.35453,1.35522,1.35416,1.35463,5445,1,0,2018-05-10 03:30:00,2018-05-10 03:00:00
